"Feature"	"Gain"	"Cover"	"Frequency"
"38"	"mv_msaldopesos"	0.00202606391298776	0.000567940594986417	0.000716443946048656
"39"	"Visa_cuenta_estado"	0.00202153256422545	0.000164452209768896	0.000498395788555587
"40"	"canarito37"	0.00201307205097966	0.00473548102279212	0.00520200604304894
"41"	"canarito36"	0.00197649145118935	0.00341292383488748	0.00482820920163225
"42"	"canarito27"	0.00196477292943362	0.00261999025105095	0.00467246051770863
"43"	"canarito4"	0.00195586815262074	0.00413479397851842	0.00479705946484752
"44"	"canarito109"	0.00195246174170573	0.00407976609612786	0.00482820920163225
"45"	"canarito40"	0.0019440390833602	0.00241880949918597	0.00470361025449335
"46"	"canarito39"	0.00192398123187269	0.00269336747117243	0.00470361025449335
"47"	"canarito55"	0.00191882961483898	0.00386396560302453	0.00492165841198642
"48"	"canarito25"	0.00190314118405906	0.00275358719420331	0.0046413107809239
"49"	"canarito82"	0.00188318693614917	0.00381307175490476	0.00470361025449335
"50"	"canarito88"	0.00187830012508674	0.00367332896736461	0.0047659097280628
"51"	"canarito43"	0.00187695168361301	0.00326338453742625	0.00439211288664611
"52"	"canarito65"	0.00186196057369541	0.00355511354719743	0.0047659097280628
"53"	"canarito17"	0.00186123380116379	0.00324257701580513	0.00457901130735445
"54"	"canarito75"	0.00185742545122362	0.00346002073264307	0.0046413107809239
"55"	"canarito47"	0.00185457185889835	0.00356211538220578	0.00457901130735445
"56"	"mttarjeta_visa_debitos_automaticos__tend"	0.00184386072498325	0.00258693845034282	0.00221163131171542
"57"	"canarito44"	0.00183154813519147	0.00455050385653365	0.00470361025449335
"58"	"canarito45"	0.00183052736249655	0.00402875095492661	0.00479705946484752
"59"	"canarito72"	0.00182443288856598	0.004120578115309	0.0046413107809239
"60"	"canarito9"	0.00182355496379997	0.00374779685044975	0.00457901130735445
"61"	"canarito74"	0.0018229411232698	0.00218115100905175	0.00445441236021556
"62"	"canarito35"	0.00181672190738834	0.00251726760585127	0.00448556209700028
"63"	"canarito102"	0.00180686566716097	0.00409018350814583	0.0046413107809239
"64"	"tcaja_seguridad"	0.00180508335398403	0.00271736552412667	0.000716443946048656
"65"	"canarito99"	0.00180445600683475	0.00292275846894252	0.00445441236021556
"66"	"canarito59"	0.0017974443644273	0.00367411951974468	0.00454786157056973
"67"	"canarito62"	0.00179592608423928	0.00301029713980198	0.00436096314986138
"68"	"canarito79"	0.00179564031451091	0.00227058846313716	0.00432981341307666
"69"	"canarito95"	0.00178740045512107	0.00282921385967384	0.00429866367629194
"70"	"canarito93"	0.00178031677904083	0.00311836670081819	0.004516711833785
"71"	"canarito60"	0.00176983897695601	0.00308483832779769	0.00432981341307666
"72"	"mplan_sueldo__avg"	0.00176676912653917	0.0035787677346548	0.00118368999781952
"73"	"canarito22"	0.00176496309931741	0.00349615915772318	0.00429866367629194
"74"	"canarito33"	0.00176169514364542	0.00443022150612872	0.00461016104413918
"75"	"Visa_cuenta_estado__tend"	0.00176103145238927	0.00178256704858998	0.00133943868174314
"76"	"mrentabilidad"	0.00175312662199288	0.00177757005449915	0.00277232657384045
"77"	"canarito5"	0.00174320174343648	0.00228592607291379	0.00426751393950721
"78"	"canarito63"	0.0017363988086456	0.00268992915786963	0.00414291499236831
"79"	"canarito30"	0.00171873205043224	0.00243706469743753	0.00417406472915304
"80"	"canarito81"	0.00171844610479339	0.00436849180450331	0.00457901130735445
"81"	"canarito77"	0.00171706772621347	0.00329900963325269	0.00420521446593776
"82"	"canarito90"	0.00171055617239962	0.0027689284184118	0.00411176525558359
"83"	"mcuenta_corriente_Paquete__avg"	0.00170999899437404	0.00161498217140886	0.00277232657384045
"84"	"foto_mes"	0.00170756322926621	0.00375447281791529	0.00311497367847242
"85"	"canarito52"	0.00170504131364695	0.00279243026671216	0.00423636420272249
"86"	"canarito18"	0.00170375454874	0.00302435085865895	0.00429866367629194
"87"	"canarito8"	0.0016993482275146	0.00220941032296357	0.00408061551879887
"88"	"canarito50"	0.00169692205481767	0.00241720990271366	0.00420521446593776
"89"	"mactivos_margen__tend"	0.00169672505741385	0.00253171203842732	0.00364451920381273
"90"	"canarito29"	0.00169663716994482	0.00283431048259234	0.00414291499236831
"91"	"canarito84"	0.0016935583061449	0.00286063261087358	0.00420521446593776
