"Feature"	"Gain"	"Cover"	"Frequency"
"48"	"ccomisiones_otras__tend"	0.00196132076869481	0.00347058347670292	0.00601949168736862
"49"	"foto_mes"	0.00194358423625725	0.00458460115266643	0.00477737435505446
"50"	"mpasivos_margen__tend"	0.00188865005813147	0.00586789148842102	0.00482514809860501
"51"	"ccomisiones_mantenimiento"	0.00183477000315288	0.00214827948319257	0.00100324861456144
"52"	"Visa_mpagominimo"	0.00183317841688144	0.00222654164058887	0.00272310338238104
"53"	"mpagomiscuentas"	0.00180895881961361	0.00221783912095671	0.00119434358876362
"54"	"chomebanking_transacciones__tend"	0.00177431791859619	0.00414912640691649	0.00501624307280718
"55"	"internet"	0.00170149313732213	0.000903985876235069	0.00200649722912287
"56"	"Visa_mpagospesos__tend"	0.00167237120702125	0.00400445988050091	0.00496846932925664
"57"	"mactivos_margen__min"	0.0016200937135701	0.00154530087017379	0.00320084081788649
"58"	"mvr_mpagominimo"	0.00161523255047647	0.00100914082334807	0.0022453659468756
"59"	"Visa_cuenta_estado__tend"	0.00161338279171301	0.00144096407723482	0.00200649722912287
"60"	"ttarjeta_visa_debitos_automaticos__tend"	0.00158368131291408	0.00212759969339075	0.00300974584368431
"61"	"chomebanking_transacciones"	0.00156675562193963	0.00318262310410411	0.00286642461303268
"62"	"mcuenta_corriente_Paquete__min"	0.00152001604761466	0.00241256494227792	0.0043951844066501
"63"	"mrentabilidad__max"	0.00149760177335998	0.00316706436438887	0.00420408943244793
"64"	"ccallcenter_transacciones"	0.00146971637333284	0.00218824561839654	0.00157653353716797
"65"	"mrentabilidad__tend"	0.00144658589234873	0.00395645968061077	0.00506401681635773
"66"	"mcaja_ahorro_Paquete__max"	0.00143404771150349	0.00650525592722819	0.00482514809860501
"67"	"Master_fechaalta"	0.00140650469514219	0.00532893801751406	0.00496846932925664
"68"	"mrentabilidad_annual__max"	0.00140569545361688	0.00244344005695921	0.00382189948404357
"69"	"tmovimientos_ultimos90dias__min"	0.0013575242818812	0.00366218616591386	0.00391744697114466
"70"	"mcuentas_saldo__min"	0.00135486468911711	0.00334111911318502	0.00410854194534684
"71"	"ccallcenter_transacciones__tend"	0.00134150026323755	0.00348823456134511	0.00391744697114466
"72"	"tplazo_fijo"	0.00131136708670429	0.00421652876624497	0.00138543856296579
"73"	"mrentabilidad_annual__min"	0.00129812383900931	0.00458921088370419	0.00429963691954902
"74"	"mplan_sueldo__max"	0.00128538128065315	0.00257475143949414	0.00133766481941525
"75"	"mvr_msaldopesos2"	0.00127590035060575	0.00443620790204373	0.00458627938085228
"76"	"Master_fultimo_cierre__tend"	0.00127295009806318	0.00233368432538879	0.0043951844066501
"77"	"chomebanking_transacciones__max"	0.00126714926332167	0.00213117944411469	0.00372635199694248
"78"	"mrentabilidad__avg"	0.00125847098712032	0.00274215144894513	0.00363080450984139
"79"	"Visa_Finiciomora"	0.00125134810716459	0.0012782701229996	0.00152875979361743
"80"	"mcuenta_corriente_Paquete__max"	0.0011750938751219	0.00200237703453819	0.0031052933307854
"81"	"cliente_edad__min"	0.00117280645327896	0.00172000925698875	0.00358303076629085
"82"	"thomebanking__tend"	0.00116123063466578	0.00213298576622907	0.00358303076629085
"83"	"mactivos_margen__max"	0.00115765359864211	0.00352123101995637	0.00372635199694248
"84"	"mcomisiones_mantenimiento"	0.0011487205567233	0.00284792084890704	0.00281865086948213
"85"	"mcaja_ahorro_Paquete__tend"	0.00114366090991094	0.00380338358870086	0.00406076820179629
"86"	"mv_msaldopesos__max"	0.00113782803367375	0.0010661039889575	0.00114656984521307
"87"	"mprestamos_personales__min"	0.00111908829193688	0.00175491652978448	0.00167208102426906
"88"	"mtarjeta_master_consumo"	0.00111500659365083	0.00234043558235954	0.00138543856296579
"89"	"Visa_fechaalta"	0.00110245904315668	0.00436803589469491	0.00406076820179629
"90"	"mpasivos_margen__min"	0.00109227295380244	0.00422442539054809	0.00386967322759411
